,0-NoRiskPop,1-LowRiskPop,2-ModerateRiskPop,3-HighRiskPop,4-VeryHighRiskPop,5-WaterBodyPop,city,city_warped_population,city_post_warp_adjusted_population,year,ssp,return_period,pop_input_raster_name
0,3808413.8,5767.27,7651.48,5435.35,24.47,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,10,projected_clipped_popdynamics_SSP1_2020
1,3738812.5,24902.38,25349.32,15097.66,23130.48,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,100,projected_clipped_popdynamics_SSP1_2020
2,3693229.8,17117.98,23314.19,32902.72,60728.4,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,1000,projected_clipped_popdynamics_SSP1_2020
3,3781152.0,17717.35,14793.11,13485.92,144.53,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,20,projected_clipped_popdynamics_SSP1_2020
4,3719989.8,23926.08,31798.74,19346.22,32231.42,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,200,projected_clipped_popdynamics_SSP1_2020
5,3818471.8,4115.8,3958.99,735.96,9.94,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,5,projected_clipped_popdynamics_SSP1_2020
6,3751385.2,24548.32,20738.92,20158.63,10461.35,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,50,projected_clipped_popdynamics_SSP1_2020
7,3710443.5,17779.11,22449.34,33109.94,43510.54,0.0,Chittagong,64849120.0,3827293.2,2020,SSP1,500,projected_clipped_popdynamics_SSP1_2020
8,3685120.8,11634.98,16874.44,18362.36,2269.11,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,10,projected_clipped_popdynamics_SSP1_2030
9,3586347.0,29352.26,34799.74,30172.47,53589.76,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,100,projected_clipped_popdynamics_SSP1_2030
10,3525443.2,19362.2,31271.37,42254.96,115929.27,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,1000,projected_clipped_popdynamics_SSP1_2030
11,3645529.5,24707.26,26323.24,33587.99,4113.37,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,20,projected_clipped_popdynamics_SSP1_2030
12,3560758.5,29734.63,39309.26,34707.02,69752.01,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,200,projected_clipped_popdynamics_SSP1_2030
13,3702346.5,9519.37,14838.88,7362.15,194.29,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,5,projected_clipped_popdynamics_SSP1_2030
14,3602783.8,30994.56,32780.35,38017.76,29685.22,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,50,projected_clipped_popdynamics_SSP1_2030
15,3547733.5,20960.19,29904.16,41690.72,93973.0,0.0,Chittagong,67257064.0,3734261.2,2030,SSP1,500,projected_clipped_popdynamics_SSP1_2030
16,4143036.2,7193.54,10196.28,7828.82,37.67,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,10,projected_clipped_popdynamics_SSP2_2030
17,4060569.5,26649.58,31404.24,18107.31,31561.63,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,100,projected_clipped_popdynamics_SSP2_2030
18,4006492.8,18190.67,27393.8,38438.97,77775.76,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,1000,projected_clipped_popdynamics_SSP2_2030
19,4108788.8,20068.8,20513.04,18669.12,252.22,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,20,projected_clipped_popdynamics_SSP2_2030
20,4037252.5,25894.86,38316.01,24545.12,42283.7,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,200,projected_clipped_popdynamics_SSP2_2030
21,4155459.2,5204.81,6518.28,1096.71,11.92,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,5,projected_clipped_popdynamics_SSP2_2030
22,4075234.5,27295.02,25091.0,25463.13,15208.09,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,50,projected_clipped_popdynamics_SSP2_2030
23,4026483.8,18842.55,25770.42,39879.86,57315.62,0.0,Chittagong,65126216.0,4168291.5,2030,SSP2,500,projected_clipped_popdynamics_SSP2_2030
24,3854271.8,12519.34,18093.85,19945.33,2371.92,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,10,projected_clipped_popdynamics_SSP3_2030
25,3747651.8,31309.07,37807.12,32216.88,58217.56,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,100,projected_clipped_popdynamics_SSP3_2030
26,3681445.0,20467.85,33965.69,45734.65,125588.91,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,1000,projected_clipped_popdynamics_SSP3_2030
27,3811123.2,26445.68,28646.9,36594.44,4392.4,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,20,projected_clipped_popdynamics_SSP3_2030
28,3719705.5,31505.03,42889.7,37567.92,75534.42,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,200,projected_clipped_popdynamics_SSP3_2030
29,3873022.5,10151.76,16032.68,7777.65,218.83,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,5,projected_clipped_popdynamics_SSP3_2030
30,3765426.0,33215.75,35246.85,40886.16,32427.74,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,50,projected_clipped_popdynamics_SSP3_2030
31,3705571.5,22261.92,32304.7,45308.14,101757.18,0.0,Chittagong,67428550.0,3907202.0,2030,SSP3,500,projected_clipped_popdynamics_SSP3_2030
32,3954303.2,6303.59,9179.53,7267.06,33.2,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,10,projected_clipped_popdynamics_SSP5_2030
33,3878781.0,24200.6,28618.86,16274.64,29210.96,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,100,projected_clipped_popdynamics_SSP5_2030
34,3829341.0,16482.51,25207.25,34681.62,71374.94,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,1000,projected_clipped_popdynamics_SSP5_2030
35,3922817.5,17965.03,18881.3,17180.05,243.22,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,20,projected_clipped_popdynamics_SSP5_2030
36,3857511.2,23403.36,34678.43,22839.11,38653.54,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,200,projected_clipped_popdynamics_SSP5_2030
37,3965541.0,4360.68,6181.36,992.51,10.73,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,5,projected_clipped_popdynamics_SSP5_2030
38,3892277.0,24909.06,22613.52,22950.8,14336.63,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,50,projected_clipped_popdynamics_SSP5_2030
39,3847769.2,17231.33,23021.19,35763.47,53301.28,0.0,Chittagong,64959910.0,3977087.8,2030,SSP5,500,projected_clipped_popdynamics_SSP5_2030
40,4363715.0,8207.52,11205.18,9576.15,48.92,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,10,projected_clipped_popdynamics_SSP1_2050
41,4273508.5,28443.65,35203.14,19237.3,36359.7,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,100,projected_clipped_popdynamics_SSP1_2050
42,4213058.0,18314.59,29990.4,43068.54,88319.84,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,1000,projected_clipped_popdynamics_SSP1_2050
43,4325583.0,21473.6,23616.8,21683.69,394.38,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,20,projected_clipped_popdynamics_SSP1_2050
44,4247153.0,26739.51,42165.86,29538.32,47154.82,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,200,projected_clipped_popdynamics_SSP1_2050
45,4378286.0,4826.22,8105.7,1520.36,13.74,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,5,projected_clipped_popdynamics_SSP1_2050
46,4289698.0,29551.93,27681.76,27421.74,18398.28,0.0,Chittagong,65303856.0,4392752.0,2050,SSP1,50,projected_clipped_popdynamics_SSP1_2050
