,RPs,Current,CMCC-CM2-VHR4,CNRM-CM6-1-HR,EC-Earth3P-HR,HADGEM3-GC31-HM
0,10,0.0,0.0,0.0,0.0,0.0
1,20,22.828558,0.0,20.974377,25.233013,22.524908
2,30,27.755516,21.723022,25.619865,29.208042,27.914911
3,40,31.4152,24.4831,28.500969,32.08707,30.520863
4,50,34.290314,26.661722,30.863482,33.96404,33.025368
5,60,37.142063,28.723213,32.53927,35.385765,34.703873
6,70,38.885788,29.855034,33.745914,36.572174,35.920555
7,80,40.473465,30.610176,34.645176,37.573647,36.89688
8,90,41.82849,31.36463,35.389603,38.466522,37.641968
9,100,43.35663,32.18734,36.138744,39.20966,38.464886
10,200,52.784916,37.258617,41.319145,44.29598,42.867634
11,300,56.896618,40.759964,43.4533,47.127888,44.74801
12,500,59.85104,44.633022,46.932964,50.17781,47.48502
13,600,60.76336,45.44557,47.99986,51.646343,48.20936
14,700,61.583427,46.152214,48.83898,52.932213,48.656525
15,800,62.33754,47.01248,49.487328,53.91456,48.9775
16,900,63.038357,47.70075,50.031124,54.707417,49.26389
17,1000,63.650196,48.214756,50.532757,55.444397,49.536102
18,2000,66.44764,51.596786,55.008976,59.36016,52.4024
19,3000,67.34248,55.423878,56.85652,60.871483,55.37671
20,4000,67.89074,58.506004,58.037537,61.65623,57.533485
21,5000,68.24356,60.893353,59.55601,62.177532,59.035355
22,6000,68.39877,62.067074,60.67328,62.649593,59.784927
23,7000,68.361755,62.10906,60.723232,62.606644,59.752964
24,8000,68.5725,63.68468,62.161476,63.282837,60.770393
25,9000,68.94734,65.4519,63.599724,63.95903,61.787827
26,10000,69.37733,67.356895,65.03797,64.63522,62.805256
