,0-NoRiskPop,1-LowRiskPop,2-ModerateRiskPop,3-HighRiskPop,4-VeryHighRiskPop,5-WaterBodyPop,city,city_warped_population,city_post_warp_adjusted_population,year,ssp,return_period,pop_input_raster_name
0,3808413.8,5767.27,7651.48,5435.35,24.47,0,Chittagong,64849120,3827293.2,2020,SSP1,10,projected_clipped_popdynamics_SSP1_2020
1,3781152,17717.35,14793.11,13485.92,144.53,0,Chittagong,64849120,3827293.2,2020,SSP1,20,projected_clipped_popdynamics_SSP1_2020
2,3751385.2,24548.32,20738.92,20158.63,10461.35,0,Chittagong,64849120,3827293.2,2020,SSP1,50,projected_clipped_popdynamics_SSP1_2020
3,4363715,8207.52,11205.18,9576.15,48.92,0,Chittagong,65303856,4392752,2050,SSP1,10,projected_clipped_popdynamics_SSP1_2050
4,4325583,21473.6,23616.8,21683.69,394.38,0,Chittagong,65303856,4392752,2050,SSP1,20,projected_clipped_popdynamics_SSP1_2050
5,4289698,29551.93,27681.76,27421.74,18398.28,0,Chittagong,65303856,4392752,2050,SSP1,50,projected_clipped_popdynamics_SSP1_2050
6,4049289.2,17175.94,24166.76,25273.93,2689.68,0,Chittagong,67637240,4118596,2050,SSP2,10,projected_clipped_popdynamics_SSP2_2050
7,4001864.8,26898.04,35667.24,48156.6,6009.2,0,Chittagong,67637240,4118596,2050,SSP2,20,projected_clipped_popdynamics_SSP2_2050
8,3961261.8,34108.12,36018.69,44704.86,42502.42,0,Chittagong,67637240,4118596,2050,SSP2,50,projected_clipped_popdynamics_SSP2_2050
9,5084624,14429.53,16738.99,17190.1,90.82,0,Chittagong,65942224,5133074,2050,SSP3,10,projected_clipped_popdynamics_SSP3_2050
10,5036632,27840.6,28322.68,38229.61,2049.2,0,Chittagong,65942224,5133074,2050,SSP3,20,projected_clipped_popdynamics_SSP3_2050
11,4990247,38183.2,37628.42,33955.65,33059.6,0,Chittagong,65942224,5133074,2050,SSP3,50,projected_clipped_popdynamics_SSP3_2050
12,3530237,11636.62,19418.95,27824.74,3186.38,0,Chittagong,67115976,3592304.5,2080,SSP1,10,projected_clipped_popdynamics_SSP1_2080
13,3498363,20648.83,26442.56,41276.7,5571.95,0,Chittagong,67115976,3592304.5,2080,SSP1,20,projected_clipped_popdynamics_SSP1_2080
14,3466075.8,26826.02,28951.86,37829.6,32619.95,0,Chittagong,67115976,3592304.5,2080,SSP1,50,projected_clipped_popdynamics_SSP1_2080
15,3952825.5,15929.27,23184.8,39978.17,4110.17,0,Chittagong,67554280,4036028.5,2080,SSP2,10,projected_clipped_popdynamics_SSP2_2080
16,3915296.8,24274.46,27593.85,56968.41,11894.99,0,Chittagong,67554280,4036028.5,2080,SSP2,20,projected_clipped_popdynamics_SSP2_2080
17,3878465,31201.91,34573.96,39753.17,52034.59,0,Chittagong,67554280,4036028.5,2080,SSP2,50,projected_clipped_popdynamics_SSP2_2080
18,4896789,24774.84,32828.94,63952.44,6182.21,0,Chittagong,68537360,5024527.5,2080,SSP3,10,projected_clipped_popdynamics_SSP3_2080
19,4844396.5,35114.24,36727.9,81517.62,26771.07,0,Chittagong,68537360,5024527.5,2080,SSP3,20,projected_clipped_popdynamics_SSP3_2080
20,4787239.5,45557.38,53573.16,52188.4,85968.77,0,Chittagong,68537360,5024527.5,2080,SSP3,50,projected_clipped_popdynamics_SSP3_2080
