,flood_file_name,Year,SSP,Return period,Road length flooded more than 15cm,Percentage of road flooded more than 15cm,Road length flooded more than 50cm,Percentage of road flooded more than 50cm,Road length flooded more than 85cm,Percentage of road flooded more than 85cm,Road length flooded more than 120cm,Percentage of road flooded more than 120cm,Road length flooded more than 155cm,Percentage of road flooded more than 155cm,Road length flooded more than 190cm,Percentage of road flooded more than 190cm,Road length flooded more than 225cm,Percentage of road flooded more than 225cm,Road length flooded more than 260cm,Percentage of road flooded more than 260cm,Road length flooded more than 295cm,Percentage of road flooded more than 295cm,Road length flooded more than 330cm,Percentage of road flooded more than 330cm,Road length flooded more than 365cm,Percentage of road flooded more than 365cm
0, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in10_,2020,SSP1,10,118800,7.13436385255648,59040,3.545562641876554,15780,0.9476452996072496,4890,0.29366194645623894,1050,0.06305624617158505,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
1, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in100_,2020,SSP1,100,568170,34.12063560696141,345540,20.750909811551903,298590,17.931394804165315,253770,15.239793896155371,189870,11.402370914856052,124290,7.464057939682196,69720,4.1869347457932475,31230,1.875472921846287,3030,0.18196231038085972,210,0.012611249234317012,60,0.0036032140669477178
2, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in1000_,2020,SSP1,1000,1072110,64.3840305552553,867180,52.07725290959536,732870,44.0114582207329,620430,37.25903505927287,523170,31.41822505675062,441240,26.498036248333513,368790,22.147155262494145,321360,19.298814542571975,285870,17.167513421972398,243930,14.648866789175946,180060,10.8132454149101
3, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in20_,2020,SSP1,20,250830,15.063236406874934,117870,7.07851403451879,68910,4.138291355889454,26490,1.5908190105574174,4980,0.29906676755666056,870,0.052246603970741906,150,0.009008035167369293,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
4, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in200_,2020,SSP1,200,745080,44.744712283356755,470580,28.260007927070944,367710,22.082297409289087,318390,19.12045544625806,281850,16.926098079486902,233460,14.020105934493568,168750,10.134039563290456,100710,6.047994811371744,55440,3.329369797859691,16200,0.9728677980758836,1950,0.11710445717580081
5, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in5_,2020,SSP1,5,55740,3.3473858681944293,15870,0.9530501207076711,4470,0.26843944798760494,780,0.04684178287032033,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in50_,2020,SSP1,50,452520,27.175440492919684,270930,16.27031311930242,206490,12.40046121140057,141810,8.51619644723093,81060,4.867942204446366,42390,2.5456707382985626,5490,0.32969408712571613,750,0.04504017583684647,120,0.0072064281338954355,30,0.0018016070334738589,30,0.0018016070334738589
7, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2020_1in500_,2020,SSP1,500,911550,54.7418297121032,692100,41.56307426224192,573450,34.43771844485281,474060,28.468994342953913,386760,23.226317875544986,327900,19.691564875869275,290850,17.46658018952906,250500,15.043418729506719,188040,11.292472885814146,128370,7.709076496234641,65910,3.9581306525420676
8, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in10_,2030,SSP1,10,126270,7.582964003891471,63000,3.783374770295103,17520,1.0521385075487335,5820,0.34951176449392857,1260,0.07566749540590206,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
9, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in100_,2030,SSP1,100,587850,35.302489820920265,355560,21.352646560732172,306300,18.394407811768097,263250,15.80910171873311,203790,12.238316578387922,139980,8.406298418189024,77940,4.680575072965085,39180,2.3528987857168593,4530,0.2720426620545527,420,0.025222498468634023,60,0.0036032140669477178
10, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in1000_,2030,SSP1,1000,1090350,65.47940763160739,880290,52.86455518322344,748980,44.97892119770835,635760,38.17965625337801,537570,32.282996432818074,453270,27.22048066875653,381630,22.918243072820957,329460,19.785248441609916,293370,17.617915180340866,255180,15.324469426728642,194340,11.670810362843657
11, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in20_,2030,SSP1,20,269760,16.20005044499694,127680,7.667639534464743,75690,4.545454545454546,34230,2.0556336251936727,6240,0.3747342629625626,1170,0.07026267430548049,150,0.009008035167369293,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
