element_type,osmid,amenity,name,geometry,addr:city,operator,name:ur,wikidata,wikimedia_commons,wikipedia,addr:street,name:en,addr:postcode,phone,nodes,description,education,name:bn,office,ward5wknn,index,points,rank,value
node,1963096794,school,MES School ,POINT (91.8362188 22.3406289),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,2430784489,school,Primary Training Institute (P.T.I) School,POINT (91.8268478 22.332829),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,2430784490,school,City Governments Girls High School,POINT (91.8275988 22.3323427),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,2796926517,school,South Pahartoli Govt. Primary School,POINT (91.8193782 22.4239039),লামিয়ার হাট,Government,,,,,,,,,,,,,,0,0,north,2,5.0
node,2826655688,school,"BCSIR High School, Chittagong - Rangamati Khagrachhari Rd, Chattogram",POINT (91.8188458 22.4177976),চট্রগ্রাম - রাঙামাটি-খাগড়াছড়ি মহাসড়ক,,,,,,,,,,,,,,,0,0,north,2,5.0
node,3900559099,school,Govt. Muslim High School,POINT (91.8369292 22.3341849),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,4634163426,college,Govt. City College,POINT (91.8314852 22.332357),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,4634235829,school,Islamia Degree College,POINT (91.8301999 22.3285818),,,اسلامیہ ڈگری کالج,,,,,,,,,,,,,0,0,north,2,5.0
node,4635199678,library,Chittagong City Corporation Public Library,POINT (91.8379176 22.337411),,,,Q114246676,File:Chittagong City Corporation Public Library gate 3.jpg,bn:চট্টগ্রাম সিটি কর্পোরেশন পাবলিক লাইব্রেরি,,,,,,,,,,0,0,north,2,5.0
node,4635199681,library,Chattogram Muslim Institute Hall & Cultural Complex,POINT (91.8340591 22.3377369),,,,,,,KC Dey Road,,,,,,,,,0,0,north,2,5.0
node,4636949751,kindergarten,Monohorkhali Port R/A Primary School,POINT (91.8327861 22.3271279),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,4636969737,kindergarten,Sunrise Pre Cadet School,POINT (91.8320257 22.3284924),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,4744295223,school,,POINT (91.8288575 22.3167837),,,,,,,,Bangladesh Marine Fisheries Academy,,,,,,,,0,0,north,2,5.0
node,5154843705,school,"Fatehabad City Corporation High School & college, Chattogram - Rangamati Hwy, Chattogram",POINT (91.8173514 22.4498294),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,5222604021,school,,POINT (91.8449815 22.3917383),,Irfan and Arif,,,,,,Alok Coaching Centre,4212,+8801517165021,,,,,,0,0,north,2,5.0
node,5821627255,school,চট্টগ্রাম সেনানিবাস উচ্চ বিদ্যালয় - Chittagong Cantonment High School,POINT (91.8142405 22.4100784),,,,,,,,Chittagong Cantonment High School,,,,,,,,0,0,north,2,5.0
node,5909319707,library,College Library,POINT (91.8179376 22.440689),চট্রগ্রাম - রাঙামাটি-খাগড়াছড়ি মহাসড়ক,,,,,,,,,,,,,,,0,0,north,2,5.0
node,6120618784,school,Fotepur Madrasha masjid,POINT (91.8166355 22.4666737),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,6127486377,college,"Quaish Burischar Sheikh Mohammed City Corporation University College, collage gate, Chattogram",POINT (91.8612814 22.4082922),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,6533813119,school,Proyash School,POINT (91.8011979 22.4233126),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11166268390,school,"Betua Non-Government Primary School, Salimpur, Chattogram",POINT (91.7842485 22.4131394),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11166271152,school,,POINT (91.7854395 22.4127957),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11185355299,school,,POINT (91.7713427 22.374862),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11361262717,school,"Alhaj Abdur Rashid Registered Private Primary School, Amir Hossain Dobhash Road, Chattogram",POINT (91.8173414 22.3229664),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11475727003,university,"Asian University for Women, Permanent Campus, Bayezid Link Rd, Chattogram",POINT (91.7932375 22.386035),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11475787265,school,"CDA Girls School and College, Kaptai Rd, Chattogram",POINT (91.8682402 22.3956137),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11482200038,school,"Progati Nursing College Chattogram, Nursing school, Oxygen - Kuwaish Rd, Chattogram",POINT (91.8434119 22.4011222),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11482210786,school,"Frobel Academy, School, Bangabandhu Avenue, Oxygen-Quaish Adjacent Road, Chattogram",POINT (91.8576496 22.4056796),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11484530839,school,"A K Gilani Multimedia School, Dewan Mohosin Rd, Chattogram",POINT (91.868529 22.4022754),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11484548418,school,"West Mohra Government Primary School, Kaptai Rd, Chattogram",POINT (91.8690524 22.4002433),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11502425090,school,"BCSIR Laboratory High School Playground, Chittagong - Rangamati Khagrachhari Rd, Chattogram",POINT (91.8187323 22.417363),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11502622283,school,"Laliarhat Hossainia Senior Madrasah and Yatimkhana, Chittagong - Rangamati Hwy, Chattogram",POINT (91.8185401 22.4255432),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11502677694,school,"ROWSHAN GRAMER SCHOOL, Shahjahan Tower, Bhatiari - Hathazari Link Rd, Chattogram",POINT (91.8187309 22.4308658),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11507901918,college,"Shahjalal Model High School And College, Chittagong Hathajari Highway, Chattogram",POINT (91.8203656 22.4383052),,,,,,,,,,,,,,,,0,0,north,2,5.0
node,11507996597,school,"Children Garden High School, Chattogram - Rangamati-Khagrachari Highway, Chattogram",POINT (91.818219 22.4483841),,,,,,,,,,,,,,,,0,0,north,2,5.0
