element_type,osmid,nodes,landuse,name,geometry,office,industrial,ward5wknn,index,points,rank,value
way,250486716,"[2569218599, 2569218603, 2569218605, 2569218607, 2569218599]",industrial,PHP Spinning Mills,"POLYGON ((91.8211803 22.4139158, 91.8212116 22.4153584, 91.8192166 22.4153954, 91.8191853 22.4139528, 91.8211803 22.4139158))",,,0,0,north,2,5.0
way,250960749,"[2572876034, 2572876035, 2572876036, 2572876353, 2572876037, 2572876038, 2572879710, 2572879711, 2572876034]",industrial,GlaxoSmithKline Bangladesh Limited,"POLYGON ((91.7727419 22.3783885, 91.7740197 22.3768666, 91.7714744 22.3757574, 91.7708596 22.3763043, 91.7702111 22.3770429, 91.7707945 22.3774001, 91.7717375 22.3778546, 91.7722753 22.3781252, 91.7727419 22.3783885))",company,,0,0,north,2,5.0
way,250961531,"[2572879442, 2572879443, 2572879444, 2572879445, 2572879446, 6120609853, 6120609852, 2572879442]",industrial,Javed Steel Mills Limited,"POLYGON ((91.7678601 22.3797988, 91.7702936 22.3815324, 91.7711092 22.3805155, 91.768563 22.3788349, 91.7683373 22.3787522, 91.7677206 22.3791889, 91.7673826 22.379432, 91.7678601 22.3797988))",,,0,0,north,2,5.0
way,252168282,"[2582702084, 2582702085, 2582702086, 2582702087, 2582702105, 2582702088, 2582702107, 2582702104, 2582702089, 2582702090, 2582702091, 2582702092, 2582702093, 2582702094, 2582702095, 2582702096, 2582702097, 2582702106, 2582702098, 2582702099, 2582702100, 1216484455, 2582702101, 1216492930, 2582702102, 2582702103, 2582702084]",industrial,Golden Container Limited,"POLYGON ((91.7732032 22.3744394, 91.7737499 22.3748095, 91.7752183 22.3752751, 91.7764949 22.3737177, 91.7763871 22.3736124, 91.7762192 22.3735403, 91.7761293 22.373557, 91.7760874 22.3735958, 91.7760634 22.3737011, 91.7759675 22.3737565, 91.7758836 22.3738008, 91.7757877 22.3738064, 91.7757098 22.3737177, 91.775536 22.3736623, 91.775512 22.3736124, 91.7754401 22.3736179, 91.7752663 22.3736179, 91.7750924 22.3737454, 91.7749306 22.3737232, 91.7747508 22.3734406, 91.7746969 22.3734129, 91.7745739 22.3735489, 91.774541 22.3736235, 91.7744211 22.37361, 91.7742713 22.3736401, 91.7736 22.374089, 91.7732032 22.3744394))",,,0,0,north,2,5.0
way,469334808,"[4636803827, 4636803828, 4636803829, 4636803830, 4636803831, 4636803827]",commercial,,"POLYGON ((91.8286801 22.3265714, 91.8285961 22.325651, 91.8299327 22.3255457, 91.8299567 22.326527, 91.8290157 22.3265714, 91.8286801 22.3265714))",,,0,0,north,2,5.0
way,514142279,"[5023777941, 5023777940, 5023777939, 5023777938, 5023777937, 5023777936, 5023777935, 5023777934, 5023777933, 5023777932, 5023777931, 5023777930, 5023777929, 5023777941]",industrial,,"POLYGON ((91.8828017 22.4108832, 91.8828299 22.4107667, 91.8833368 22.4109179, 91.8832725 22.4110171, 91.883188 22.4110642, 91.8831357 22.4111919, 91.8831035 22.411306, 91.8830351 22.411487, 91.882799 22.4114424, 91.8826582 22.4113915, 91.882736 22.4111746, 91.8827883 22.4110109, 91.8828111 22.410913, 91.8828017 22.4108832))",,,0,0,north,2,5.0
way,515133124,"[5031567278, 9662829212, 5031567277, 5031567276, 5031567275, 5031567274, 5031567273, 5031567272, 5031567271, 5031567270, 5031567269, 5031567268, 5031567267, 5031567266, 5031567265, 5031567264, 5031567263, 5031567262, 5031567261, 5031567260, 5031567259, 5031567258, 5031567257, 5031567256, 5031567255, 5031567254, 5031567253, 5031567252, 5031567251, 5031567250, 5031567249, 5031567248, 5031567247, 5031567246, 5031567245, 5031567244, 5031567243, 5031567242, 5031567241, 5031567240, 5031567239, 5031567278]",commercial,,"POLYGON ((91.8733245 22.3847097, 91.8734385 22.3848424, 91.8735525 22.3849751, 91.8737537 22.3851884, 91.8739548 22.3853893, 91.8739937 22.3854637, 91.8741305 22.3855765, 91.8741654 22.3858022, 91.874164 22.3859448, 91.8741895 22.3861184, 91.8742284 22.3862846, 91.8744202 22.3862709, 91.8745637 22.3862313, 91.8748896 22.386106, 91.875135 22.3860143, 91.8754368 22.3858121, 91.8755963 22.3857501, 91.8757801 22.3856298, 91.8758994 22.3855641, 91.8759517 22.3856088, 91.8761542 22.3854513, 91.8759061 22.385171, 91.8755145 22.384742, 91.8755588 22.3844468, 91.8755306 22.3843055, 91.8752208 22.3839868, 91.8751015 22.3838628, 91.8751605 22.3836668, 91.8750545 22.3836309, 91.8747005 22.383745, 91.8744215 22.3837524, 91.8743753 22.3837561, 91.8743511 22.3837425, 91.8742928 22.3837921, 91.8741949 22.3838783, 91.8740936 22.3839899, 91.8739535 22.3841331, 91.8737832 22.3842695, 91.873641 22.3843948, 91.8735418 22.3844803, 91.8733715 22.3846204, 91.8733245 22.3847097))",,,0,0,north,2,5.0
way,517146431,"[5047264202, 5047264201, 5047264200, 5047264199, 5047264202]",industrial,PHP Spinning Mills Ltd পি এইচ পি স্পিনিং মিলস লিঃ,"POLYGON ((91.8192391 22.414924, 91.8192549 22.4153738, 91.8195368 22.4153653, 91.819521 22.4149155, 91.8192391 22.414924))",,,0,0,north,2,5.0
way,517846821,"[5052687250, 5052687249, 5052687248, 5052687247, 5052687246, 5052687245, 5052687244, 5052687243, 6127549670, 6127549671, 6127549672, 6127549669, 5052687242, 5052687241, 5052687240, 6127549676, 6127549675, 6127549674, 6127549673, 5052687239, 5052687238, 5052687250]",industrial,,"POLYGON ((91.8072166 22.4577047, 91.8075051 22.4577002, 91.8075094 22.4579378, 91.8081862 22.4579274, 91.808188 22.4580315, 91.8084642 22.4580273, 91.8084703 22.4583643, 91.8086513 22.4583615, 91.8086404 22.4585425, 91.8085036 22.45854, 91.8085062 22.458716, 91.8087369 22.4588201, 91.8086652 22.4591287, 91.8082111 22.4591357, 91.8069665 22.459155, 91.8069085 22.458678, 91.8070951 22.4586633, 91.8071047 22.4584894, 91.8072099 22.4584746, 91.8072089 22.4583225, 91.8072236 22.4580927, 91.8072166 22.4577047))",,brickyard,0,0,north,2,5.0
way,653085358,"[6120970166, 6120970165, 6120970164, 6120970163, 6120970162, 6120970161, 6120970160, 6120970159, 6120970158, 6120970157, 6120970156, 6120970166]",industrial,,"POLYGON ((91.8812451 22.4181474, 91.8814449 22.4181325, 91.881469 22.4184672, 91.8819331 22.4183618, 91.8820041 22.4178684, 91.8820296 22.417463, 91.8820149 22.417282, 91.8817078 22.417308, 91.8816085 22.4173539, 91.8812665 22.4173651, 91.8812571 22.4179936, 91.8812451 22.4181474))",,brickyard,0,0,north,2,5.0
way,653087504,"[6120989984, 6120989983, 6120989982, 6120989981, 6120989980, 6120989979, 6120989978, 6120989977, 6120989976, 6120989975, 6120989974, 6120989973, 6120989972, 6120989971, 6120989970, 6120989969, 6120989968, 6120989967, 6120989966, 6120989984]",industrial,,"POLYGON ((91.7999715 22.4418171, 91.7999768 22.4420675, 91.7999934 22.4425475, 91.7999972 22.4425878, 91.8000389 22.4426001, 91.8000731 22.4426299, 91.8001091 22.442679, 91.8001395 22.4427193, 91.8003614 22.442721, 91.8007065 22.4426719, 91.8007252 22.4426241, 91.8007386 22.4425807, 91.8007609 22.4419932, 91.8007518 22.4418723, 91.800727 22.4418285, 91.8006797 22.4418098, 91.8005285 22.4417827, 91.8001045 22.4417702, 91.8000166 22.4417785, 91.7999715 22.4418171))",,brickyard,0,0,north,2,5.0
way,653118197,"[6121189856, 6121189855, 6121189854, 6121189853, 6121189852, 6121189851, 6121189850, 6121189856]",industrial,,"POLYGON ((91.8854669 22.4195185, 91.885837 22.4197317, 91.8860435 22.4197937, 91.8862581 22.4187995, 91.8856412 22.4187251, 91.8855125 22.4190524, 91.8854374 22.4194169, 91.8854669 22.4195185))",,brickyard,0,0,north,2,5.0
way,653126476,"[6121255797, 6121255796, 6121255795, 6121255794, 6121255793, 6121255792, 6121255791, 6121255790, 6121255789, 6121255788, 6121255787, 6121255786, 6121255785, 6121251584, 6121255797]",industrial,,"POLYGON ((91.8821865 22.4291014, 91.8826452 22.4291708, 91.8835974 22.429265, 91.884284 22.4292848, 91.8851075 22.4293171, 91.8852496 22.4290964, 91.8853006 22.4288733, 91.8852094 22.4287171, 91.8846005 22.4285237, 91.8839005 22.4283501, 91.8829483 22.4280972, 91.8827417 22.4280477, 91.8823877 22.4287121, 91.8821731 22.4289377, 91.8821865 22.4291014))",,brickyard,0,0,north,2,5.0
way,653126478,"[6121255807, 6121255806, 6121255805, 6121255804, 6121255803, 6121255802, 6121255801, 6121255800, 6121255799, 6121255807]",industrial,,"POLYGON ((91.8808454 22.428851, 91.880765 22.4290146, 91.8807837 22.4292253, 91.8808937 22.4292923, 91.8812987 22.4292848, 91.8814516 22.4292253, 91.8814945 22.4290493, 91.881465 22.428965, 91.8808669 22.4288187, 91.8808454 22.428851))",,brickyard,0,0,north,2,5.0
way,653129607,"[6121270305, 6121270304, 6121270430, 6121270429, 6121270428, 6121270427, 6121270426, 6121270425, 6121270424, 6121270423, 6121270422, 6121270421, 6121270305]",industrial,,"POLYGON ((91.8891656 22.4215665, 91.8888813 22.4218418, 91.8888706 22.4221492, 91.8891147 22.4224815, 91.889281 22.4225955, 91.8894902 22.4227368, 91.8898603 22.4226575, 91.8901339 22.4223773, 91.8901205 22.4220426, 91.8899649 22.4216806, 91.8897799 22.4214996, 91.8894634 22.4214798, 91.8891656 22.4215665))",,brickyard,0,0,north,2,5.0
