element_type,osmid,source,geometry,barrier,nodes,landuse,name,industrial,name:en,operator,building,boundary,short_name,short_name:en,wikidata,wikipedia,website,alt_name,plant:method,plant:output:electricity,plant:source,power,man_made,product,cargo,ways,type,ward5wknn,index,points,rank,value
way,102619680,,"POLYGON ((91.7901331 22.2462343, 91.7889208 22.2463982, 91.7889315 22.2466265, 91.7883682 22.2467209, 91.7883092 22.2464975, 91.7872846 22.2466911, 91.7876923 22.2474508, 91.7900312 22.2468698, 91.7901196 22.2463185, 91.7901331 22.2462343))",,"[1185025764, 1185025686, 1185025727, 1185025731, 1185025816, 1185025879, 1185025822, 1185025843, 1211507949, 1185025764]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,102621116,,"POLYGON ((91.8290114 22.2570095, 91.8311116 22.2568506, 91.8296345 22.2534134, 91.8288908 22.2518771, 91.8288493 22.2518638, 91.8276167 22.2523575, 91.8279428 22.2530735, 91.8282579 22.2538239, 91.8283774 22.254121, 91.8285906 22.2548124, 91.8287459 22.2554915, 91.828891 22.2562575, 91.8290114 22.2570095))",wall,"[1185064712, 1185064699, 4191531601, 1185064684, 4191531593, 1185064679, 4191531600, 1185064668, 4191531613, 4191531615, 1185064528, 4191531618, 1185064712]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,104867037,,"POLYGON ((91.7952928 22.2601663, 91.7952069 22.2595606, 91.7949387 22.2595606, 91.7948851 22.2587266, 91.7954537 22.2587266, 91.795561 22.2601564, 91.7952928 22.2601663))",,"[1209355990, 1209356148, 1209355987, 1209355845, 1209355465, 1209355699, 1209355990]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,105106426,,"POLYGON ((91.7902458 22.2460207, 91.7914528 22.2462392, 91.7913026 22.2470138, 91.7901439 22.2467804, 91.7902458 22.2463186, 91.7901196 22.2463185, 91.7901331 22.2462343, 91.7902512 22.2462293, 91.7902458 22.2460207))",,"[1211507920, 1211507919, 1211507939, 1211507940, 1211507936, 1211507949, 1185025764, 1211507922, 1211507920]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,105106427,,"POLYGON ((91.7958141 22.2470187, 91.7937703 22.2466761, 91.7936947 22.2466545, 91.792904 22.2465214, 91.7927939 22.2464875, 91.7921502 22.2463633, 91.7921717 22.2462392, 91.7919088 22.2461697, 91.7917372 22.2473216, 91.7922468 22.247401, 91.7921931 22.2477834, 91.7947895 22.2482054, 91.7948324 22.2478926, 91.7950309 22.2479075, 91.7950309 22.2476692, 91.7953313 22.2477039, 91.7952991 22.2478678, 91.7954332 22.2478678, 91.7954279 22.2479472, 91.7956103 22.247972, 91.7958141 22.2470187))",,"[1211507921, 1211507948, 1211507917, 1211507935, 1211507937, 1211507930, 1211507941, 1211507923, 1211507928, 1211507934, 1211507943, 1211507944, 1211507931, 1211507933, 1211507915, 1211507942, 1211507929, 1211507947, 1211507946, 1211507914, 1211507921]",industrial,SAPL,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,353033114,,"POLYGON ((91.8006044 22.2759922, 91.799206 22.2744944, 91.8005635 22.2735508, 91.800977 22.2696481, 91.8009949 22.267414, 91.8000261 22.2673675, 91.8000002 22.2677535, 91.7990774 22.2677531, 91.7988337 22.2634973, 91.8008782 22.2633593, 91.8008356 22.2622622, 91.8015455 22.2618154, 91.8015739 22.2606, 91.8045057 22.2606329, 91.8045341 22.2620125, 91.8048962 22.2621308, 91.8048323 22.2627352, 91.8055635 22.2627352, 91.8075369 22.2626432, 91.8089851 22.263287, 91.8101493 22.2646141, 91.809837 22.2650411, 91.8104688 22.2650543, 91.8107527 22.2664667, 91.8113901 22.2693203, 91.8115712 22.2698623, 91.8115747 22.2700988, 91.8097716 22.2708379, 91.8052212 22.2729827, 91.8037754 22.2739025, 91.8016931 22.2752294, 91.8012782 22.2755201, 91.8006044 22.2759922))",,"[3588157380, 3588157378, 3588157377, 1128464213, 3588157369, 3588157368, 3588157371, 3588157370, 3588157363, 3588157362, 3588157356, 3588157353, 3588157351, 3588157352, 3588157354, 3588157355, 3588157359, 3588157360, 3588157357, 3588157361, 3588157364, 3588157365, 3588157366, 3588157367, 3588157372, 3588157373, 3588157374, 3588157375, 3588157376, 9861115726, 3588157379, 9876741332, 3588157380]",industrial,ইস্টার্ণ রিফাইনারী,refinery,Eastern Refinery,BPC,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,354956528,,"POLYGON ((91.8142775 22.3087372, 91.8144651 22.3087678, 91.8145032 22.3085682, 91.8143155 22.3085376, 91.8142775 22.3087372))",,"[3606088657, 3606088658, 3606088654, 3606088653, 3606088657]",industrial,,,,,yes,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,354956530,,"POLYGON ((91.8143113 22.3084671, 91.8145501 22.3085082, 91.8146009 22.3082558, 91.8143621 22.3082147, 91.8143113 22.3084671))",,"[3606088649, 3606088652, 3606088645, 3606088644, 3606088649]",industrial,,,,,yes,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,356796541,,"POLYGON ((91.8125958 22.307727, 91.8126951 22.3077298, 91.8126951 22.3077125, 91.8125947 22.3077091, 91.8126111 22.3075993, 91.8125418 22.3075909, 91.8125618 22.3075048, 91.8125162 22.3074997, 91.812518 22.3074355, 91.8124907 22.3074322, 91.8125107 22.3073038, 91.8126057 22.3073072, 91.8125984 22.3074372, 91.8126257 22.3075014, 91.812613 22.3075689, 91.8126458 22.3075909, 91.8127553 22.3075926, 91.8127389 22.3076888, 91.8127375 22.307731, 91.8127684 22.3077319, 91.8127396 22.3080434, 91.8126288 22.3079665, 91.8125175 22.3083601, 91.812484 22.3083464, 91.8125447 22.3081223, 91.812599 22.3079448, 91.8125788 22.307933, 91.8125958 22.307727))",,"[3622031240, 3622031241, 3622031239, 3622031238, 3622031234, 3622031231, 3622031223, 3622031220, 3622031210, 3622031208, 3622031193, 3622031194, 3622031211, 3622031221, 3622031229, 3622031232, 3622031233, 3622031236, 3622031242, 3622031243, 3622031249, 3622031248, 3622031252, 3622031251, 3622031250, 3622031247, 3622031246, 3622031240]",industrial,,,,,yes,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,514399809,,"POLYGON ((91.7897049 22.2722549, 91.7904784 22.2724187, 91.7905604 22.2720869, 91.7897869 22.2719231, 91.7897049 22.2722549))",,"[5025661314, 5025661313, 5025661312, 5025661311, 5025661314]",industrial,Karnaphuly EPZ,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
