element_type,osmid,leisure,name,geometry,operator,nodes,name:en,addr:city,addr:postcode,addr:street,opening_hours,wikidata,wikipedia,ward5wknn,index,points,rank,value
node,5153044821,park,Sailors Coloney 2 Park,POINT (91.7796147 22.2820979),,,,,,,,,,1,1,north,1,16.32
node,8509179093,park,,POINT (91.7781349 22.2825884),reserved area. regular entry is rare. festivals are allowed on occasions.,,,,,,,,,1,1,north,1,16.32
node,11280668013,park,"Karnaphuli Shishu Park, Agrabad karnaphuli Shishu Park, Chattogram",POINT (91.8072947 22.3240844),,,,,,,,,,1,1,north,1,16.32
node,11280703811,park,"Jamboree Park, Jamboree Field‎, Chattogram",POINT (91.8088358 22.3241336),,,,,,,,,,1,1,north,1,16.32
node,11383061367,park,"Bandar Bhavan Park, Port Colony Rd, Chattogram",POINT (91.7994356 22.3125127),,,,,,,,,,1,1,north,1,16.32
node,11431031827,park,"Khaled Sharif Farmhouse, Chittagong Coastal Rd, Chattogram",POINT (91.7749798 22.2665928),,,,,,,,,,1,1,north,1,16.32
node,11431716343,park,"Amin Park, North Muslimabad, Charpara, Road, Chattogram",POINT (91.7883788 22.2524208),,,,,,,,,,1,1,north,1,16.32
way,565866264,park,Butterfly Park,"POLYGON ((91.8173526 22.2395514, 91.8178563 22.240056, 91.8175759 22.2404489, 91.817333 22.2405395, 91.8165492 22.2406522, 91.8154231 22.2407223, 91.8154085 22.2403618, 91.8154451 22.2401095, 91.8154818 22.2399626, 91.816052 22.2400312, 91.8162725 22.2400577, 91.8164965 22.2399527, 91.8168753 22.2397752, 91.8172071 22.2396196, 91.8173526 22.2395514))",,"[1049073075, 1470047412, 1049073034, 1049072913, 1049072988, 5448645119, 5448647321, 5021753658, 5448647322, 5448647323, 1049072957, 5448647324, 5448647325, 5448647326, 1049073075]",,,,,,,,1,1,north,1,16.32
way,590884749,park,টিএসপি কলোনী পার্ক,"POLYGON ((91.7810862 22.2702491, 91.7811223 22.2702491, 91.7811134 22.2703751, 91.7814295 22.2704208, 91.7814473 22.2698687, 91.7811106 22.2698523, 91.7810862 22.2702491))",Colony Resident,"[5640754351, 5640754352, 5640754353, 5640754330, 5640754323, 5640754354, 5640754351]",TSP Colony Park,,,,,,,1,1,north,1,16.32
way,626146685,park,Jamboree Park,"POLYGON ((91.8077243 22.3247886, 91.8078016 22.3248592, 91.8098519 22.324828, 91.809966 22.3247412, 91.8099547 22.3241777, 91.8099521 22.3240663, 91.8099418 22.3235301, 91.8098545 22.32343, 91.8092887 22.3234312, 91.8091276 22.3234326, 91.8085727 22.3234415, 91.8078279 22.3234382, 91.8077624 22.3234379, 91.8077111 22.3235243, 91.8077112 22.3235306, 91.8077243 22.3247886))",,"[5911345587, 6444024995, 6444024996, 5911345588, 6444025055, 6444025224, 6444024997, 6042582141, 6444025010, 6444025011, 6444025219, 6444024974, 6444024975, 6042582140, 6444025215, 5911345587]",,Chittagong,4100,SM Morshed Rd,Mo-Sa 17:00-21:00,Q33419141,en:Jamboree Park,1,1,north,1,16.32
way,962414557,park,,"POLYGON ((91.8056109 22.3247309, 91.8055998 22.3242094, 91.8065721 22.3241916, 91.8065805 22.3245842, 91.8064619 22.3245863, 91.8063962 22.3245628, 91.8063265 22.324595, 91.8063064 22.3246521, 91.8063318 22.3247079, 91.8063265 22.3247178, 91.8056109 22.3247309))",,"[8902400796, 8902400797, 8902400798, 8902400799, 8902400800, 8902400801, 8902400802, 8902400803, 8902400804, 8902400805, 8902400796]",,,,,,,,1,1,north,1,16.32
way,962414558,park,,"POLYGON ((91.8055535 22.3238225, 91.8055464 22.3234709, 91.8058147 22.3234719, 91.8058174 22.3235606, 91.8058198 22.3237116, 91.8056389 22.3238225, 91.8055535 22.3238225))",,"[8902400806, 8902400807, 8902400808, 8898917696, 8902400809, 8902400810, 8902400806]",,,,,,,,1,1,north,1,16.32
way,962414563,park,,"POLYGON ((91.805599 22.3241902, 91.8055901 22.323835, 91.8065846 22.3238137, 91.8065846 22.3241689, 91.805599 22.3241902))",,"[8902400887, 8902400888, 8902400889, 8902400890, 8902400887]",,,,,,,,1,1,north,1,16.32
way,962414566,park,,"POLYGON ((91.8066757 22.3240613, 91.8066849 22.3237791, 91.8073335 22.3237762, 91.8073282 22.3239248, 91.8072588 22.3239252, 91.8072532 22.3240029, 91.8072256 22.3240033, 91.8072248 22.3239665, 91.8071823 22.3239629, 91.8069515 22.323943, 91.8068956 22.3239709, 91.8068903 22.3240607, 91.8066757 22.3240613))",,"[8902400909, 8902400910, 8902400911, 8902400912, 8902400913, 8902400914, 8902400920, 8902400919, 8902400915, 8902400916, 8902400917, 8902400918, 8902400909]",,,,,,,,1,1,north,1,16.32
