element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,842546871,school,Chittagong Govt. High School,POINT (91.8367175 22.3539751),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,842550423,school,Dr Khastagir's Girls' High School,POINT (91.8342718 22.3477247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1213696939,school,Chittagong Collegiate School and College,POINT (91.8252912 22.333087),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1496151709,school,Agrabad Govt. Colony Girls High School,POINT (91.8091755 22.3271315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1848626345,school,Bangladesh Elementery School,POINT (91.8230185 22.3573238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1962568044,school,St. Mary's Church and School,POINT (91.8339229 22.3488354),Q42198694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1962569806,school,Kazem Ali High School,POINT (91.8368273 22.3514126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1962590784,school,Enayet Bazar Ladies' College,POINT (91.8297386 22.3415121),,Chittagong,Chittagong,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1963026589,university,Engineers' Institute,POINT (91.8205547 22.3468608),,,,,AMIE Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1963071401,college,"Government College of Commerce, Commerce College Road, Chattogram",POINT (91.8173495 22.3260108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1963084251,school,Bangladesh Women's Association (BWA) School,POINT (91.8223572 22.3535686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,1963096794,school,MES School ,POINT (91.8362188 22.3406289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2339080784,school,Aparna Charan City corporation Girl's High School,POINT (91.8319772 22.3370099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2339099561,school,Maderbari Girl's High School,POINT (91.8240738 22.3297622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2339103824,school,Baitush Sharaf Kamil Madrasha,POINT (91.8166494 22.3362228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2340245028,school,Agrabad T&T Colony Primary School,POINT (91.8085384 22.3277377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2340294441,school,Tigerpass Govt. Primary School,POINT (91.814096 22.3417602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2408674333,school,Bangladesh Navy School and College,POINT (91.7802358 22.2911712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2430784489,school,Primary Training Institute (P.T.I) School,POINT (91.8268478 22.332829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2430784490,school,City Governments Girls High School,POINT (91.8275988 22.3323427),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2571032965,college,karnaphuli public school & college,POINT (91.8415277 22.3574338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2571034623,university,IIUC BBA Campus,POINT (91.8385685 22.3560085),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2571034800,university,IIUC CSC Campus,POINT (91.8373481 22.3558957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2571037290,college,Islami Bank Institute of Technology,POINT (91.8378443 22.3574671),,,,,Private Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2580454378,college,Hazi Mohammad Mohshin College,POINT (91.8357164 22.3527881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2581026777,school,FM International School,POINT (91.8127233 22.3369923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2581039404,school,Ananda Multimedia Computer Training Center,POINT (91.8123021 22.3372628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2581078667,university,East Delta University (EDU),POINT (91.8113974 22.3214969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2583439339,school,Police Line School,POINT (91.8174571 22.3521542),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2586783562,school,City Corporation High School,POINT (91.8349645 22.3425635),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2588776659,college,Chittagong Maa-O-Shishu Hospital Medical College,POINT (91.8061102 22.3231074),,,,,,http://www.maa-shishu-ctg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,2798024867,school,Talebiya Govt. Primary School,POINT (91.8026286 22.3282488),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3048269856,school,UCEP-Bangladesh-Chittagong-Ambagam Center,POINT (91.8074214 22.3521795),,Chittagong,,,,,UCEP-Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3228476192,school,"Khawja Ajmeri Kindergarten And High School, Commerce Collage Road, Chattogram",POINT (91.8160176 22.3287297),,Chittagong,,,,https://kakghs.webs.com/,,4,খাজা আজমেরী কেজি ও হাই স্কুল,"en:Khawja Ajmeri High School ,Chittagong",,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3738591725,college,Teachers' Training College,POINT (91.8448131 22.3569426),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3738867026,school,Bakalia Govt. High School,POINT (91.8447583 22.3558313),,,,,,,,,বাকলিয়া সরকারি উচ্চ বিদ্যালয়,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3900397363,school,Munir Coaching Centre,POINT (91.8455745 22.3570582),,,,,,,Munir,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,3900559099,school,Govt. Muslim High School,POINT (91.8369292 22.3341849),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,4357503593,school,,POINT (91.8252497 22.3551215),,,,,Bangladesh Elementary School Unit 3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
