element_type,osmid,leisure,name,geometry,nodes,natural,landuse,name:en,addr:city,addr:postcode,addr:street,opening_hours,wikidata,wikipedia,access,ward5wknn,index,points,rank,value
node,1963059684,garden,Jeelapi pahar ,POINT (91.8175507 22.3470295),,,,,,,,,,,,2,5,north,5,3.12
node,4635199673,park,Laldighi park,POINT (91.837655 22.3376773),,,,,,,,,,,,2,5,north,5,3.12
node,11269094902,park,"Naim park, Port Connecting Rd, Chattogram",POINT (91.796499 22.3246734),,,,,,,,,,,,2,5,north,5,3.12
node,11280668013,park,"Karnaphuli Shishu Park, Agrabad karnaphuli Shishu Park, Chattogram",POINT (91.8072947 22.3240844),,,,,,,,,,,,2,5,north,5,3.12
node,11280703811,park,"Jamboree Park, Jamboree Field‎, Chattogram",POINT (91.8088358 22.3241336),,,,,,,,,,,,2,5,north,5,3.12
node,11383061367,park,"Bandar Bhavan Park, Port Colony Rd, Chattogram",POINT (91.7994356 22.3125127),,,,,,,,,,,,2,5,north,5,3.12
node,11383140848,park,"Sailors Colony 1 Shishu Park, Ground Floor, EPZ, Chattogram",POINT (91.78204 22.292129),,,,,,,,,,,,2,5,north,5,3.12
way,156280091,park,DC Hill,"POLYGON ((91.8306859 22.3422291, 91.8309589 22.3418104, 91.831508 22.3410095, 91.8317399 22.3406722, 91.8317706 22.3406275, 91.8320611 22.3404922, 91.8321627 22.3404484, 91.8322846 22.3404359, 91.832875 22.3403131, 91.8329084 22.3403061, 91.8330501 22.34009, 91.8332437 22.3397947, 91.8336205 22.3398111, 91.8336424 22.3396207, 91.833399 22.3395659, 91.8336835 22.3389401, 91.8339176 22.3392482, 91.8350495 22.3398734, 91.8352265 22.3401513, 91.8351031 22.340578, 91.8349744 22.340707, 91.834792 22.3407566, 91.8341771 22.3406976, 91.8340785 22.3407913, 91.8342287 22.3411883, 91.8342287 22.3414364, 91.8341268 22.3415902, 91.8338518 22.3416981, 91.8335206 22.3418284, 91.8331574 22.3420524, 91.8330919 22.3423972, 91.8331743 22.3426321, 91.8335958 22.3432964, 91.8336543 22.3434735, 91.833529 22.3435563, 91.8333633 22.3436524, 91.8330486 22.3437473, 91.8328576 22.3438008, 91.8327114 22.3438192, 91.8326158 22.3438236, 91.8325759 22.3438255, 91.8324606 22.3438156, 91.8323605 22.3438041, 91.8322303 22.3437932, 91.8321121 22.3437678, 91.8320386 22.3437585, 91.8319608 22.3437414, 91.8318692 22.3437309, 91.8318312 22.3437175, 91.8316499 22.3436137, 91.831247 22.343221, 91.8306859 22.3422291))","[1685515133, 4634198668, 5377678906, 5835889999, 1685515141, 1685515101, 1685515126, 1685515135, 5835889997, 1685515158, 5835889996, 1685515170, 3398130501, 3398130502, 3398130503, 3398130504, 3398130505, 3398130506, 3398130507, 3398130508, 3398130509, 3398130510, 3398130511, 3398130512, 3398130513, 3398130514, 3398130515, 3398130516, 3398130517, 3398130518, 3398130519, 3398130520, 1685515117, 1685515130, 1685515137, 1685515172, 5835890004, 1685515119, 1685515131, 5835890003, 1685515140, 1685515163, 1685515098, 1685515123, 1685515134, 6130034541, 1685515155, 1685515167, 5835890002, 1685515102, 1685515128, 1685515133]",park,,,,,,,,,,2,5,north,5,3.12
way,469332415,park,Neval-2,"POLYGON ((91.8346614 22.3264808, 91.8346122 22.3267047, 91.8343638 22.3266702, 91.8341663 22.3266301, 91.8342176 22.3264756, 91.8339158 22.3264232, 91.8336447 22.3263976, 91.8335766 22.326686, 91.8332887 22.3268807, 91.8331601 22.3268482, 91.8331402 22.326816, 91.8327548 22.3267984, 91.8326703 22.3272638, 91.8321852 22.327273, 91.8321089 22.3279367, 91.8320429 22.3279348, 91.8320678 22.3271428, 91.8321001 22.3270712, 91.8321411 22.3269302, 91.8320866 22.3267405, 91.8322201 22.326749, 91.8322347 22.3266593, 91.8325895 22.3266952, 91.8331901 22.3267636, 91.8332168 22.3267429, 91.8334079 22.3266435, 91.833537 22.3262399, 91.8346614 22.3264808))","[5389624579, 5389652139, 5389624575, 5389652138, 5389652137, 5389624578, 5389652135, 5389652136, 5389624580, 6036034067, 5437967848, 5389624584, 4636790328, 6036034622, 6036034621, 6036034619, 6036034620, 5389624583, 5389680234, 5389652132, 5437967850, 5389680233, 5437967851, 6036035136, 5389652133, 6127971866, 5389680232, 5389624579]",,recreation_ground,,,,,,,,,2,5,north,5,3.12
way,469334221,park,CRB,"POLYGON ((91.8189056 22.342247, 91.8190682 22.3408332, 91.8196252 22.340107, 91.8210999 22.3383897, 91.8225156 22.3382885, 91.823361 22.3410343, 91.8233776 22.3425328, 91.8232569 22.3445328, 91.8228423 22.3466068, 91.8225403 22.3438158, 91.8202926 22.3428524, 91.8189056 22.342247))","[4636798680, 4636798681, 4636807677, 4636798682, 4636798683, 4636798684, 4636798685, 5025890247, 5025890248, 4636798688, 11465751824, 4636798680]",,,,,,,,,,,2,5,north,5,3.12
