,time,lat,lon,Precipitation,Variable,SSP
0,2040-01-01 12:00:00,22.0,91.0,0.009999999776482582,Anomaly of precipitation relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,80.72000122070312,Maximum of 5-day cumulative precipitation,SSP245
0,2040-01-01 12:00:00,22.0,91.0,0.15000000596049767,R20mm heavy precipitation days,SSP245
0,2040-01-01 12:00:00,22.0,91.0,-0.27000001072883606,Anomaly of precipitation relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,14.720000267028809,Precipitation,SSP245
0,2040-01-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,18.139999389648438,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,67.88999938964844,Maximum of 5-day cumulative precipitation,SSP585
0,2040-01-01 12:00:00,22.0,91.0,5.309999942779541,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,14.4399995803833,Precipitation,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
0,2040-01-01 12:00:00,22.0,91.0,0.0,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
1,2040-02-01 12:00:00,22.0,91.0,48.9900016784668,Maximum of 5-day cumulative precipitation,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.0,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
1,2040-02-01 12:00:00,22.0,91.0,2.180000066757202,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
1,2040-02-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
1,2040-02-01 12:00:00,22.0,91.0,0.0,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,16.8700008392334,Precipitation,SSP245
1,2040-02-01 12:00:00,22.0,91.0,-13.739999771118164,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,-2.4200000762939453,Anomaly of precipitation relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP245
1,2040-02-01 12:00:00,22.0,91.0,12.489999771118164,Precipitation,SSP585
1,2040-02-01 12:00:00,22.0,91.0,64.91000366210938,Maximum of 5-day cumulative precipitation,SSP245
1,2040-02-01 12:00:00,22.0,91.0,1.9600000381469727,Anomaly of precipitation relative to 1995-2014,SSP245
1,2040-02-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
2,2040-03-01 12:00:00,22.0,91.0,60.9900016784668,Maximum of 5-day cumulative precipitation,SSP245
2,2040-03-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
2,2040-03-01 12:00:00,22.0,91.0,59.59000015258789,Maximum of 5-day cumulative precipitation,SSP585
2,2040-03-01 12:00:00,22.0,91.0,23.68000030517578,Precipitation,SSP245
2,2040-03-01 12:00:00,22.0,91.0,-3.5899999141693115,Anomaly of precipitation relative to 1995-2014,SSP245
2,2040-03-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP245
2,2040-03-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
2,2040-03-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
2,2040-03-01 12:00:00,22.0,91.0,-4.440000057220459,Anomaly of precipitation relative to 1995-2014,SSP585
2,2040-03-01 12:00:00,22.0,91.0,0.0,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
2,2040-03-01 12:00:00,22.0,91.0,-20.399999618530273,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
2,2040-03-01 12:00:00,22.0,91.0,22.829999923706055,Precipitation,SSP585
2,2040-03-01 12:00:00,22.0,91.0,0.050000000745092595,R20mm heavy precipitation days,SSP585
2,2040-03-01 12:00:00,22.0,91.0,-21.799999237060547,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
2,2040-03-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
2,2040-03-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
3,2040-04-01 12:00:00,22.0,91.0,70.44999694824219,Maximum of 5-day cumulative precipitation,SSP585
3,2040-04-01 12:00:00,22.0,91.0,30.40999984741211,Precipitation,SSP585
3,2040-04-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP245
3,2040-04-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,78.05000305175781,Maximum of 5-day cumulative precipitation,SSP245
3,2040-04-01 12:00:00,22.0,91.0,2.630000114440918,Anomaly of precipitation relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,-0.7300000190734863,Anomaly of precipitation relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,3.799999952316284,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,33.77000045776367,Precipitation,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
