,Latitude,Longitude,percentile_1,percentile_5,percentile_17,percentile_50,percentile_83,percentile_95,percentile_99
292934,22.317,91.773,-194.69,-168.43,-130.54,-96.457,-54.793,-38.269,-29.318
292935,22.312,91.774,-159.28,-131.75,-102.17,-59.521,-18.245,1.3783,9.3448
292936,22.308,91.775,-60.183,-48.228,-31.601,-7.0553,14.467,24.202,29.645
292937,22.303,91.776,-10.601,2.7136,20.229,44.671,66.256,75.832,81.104
292938,22.29,91.777,-211.67,-196.75,-179.59,-155.73,-133.84,-124.21,-118.67
292939,22.285,91.777,-113.72,-99.631,-81.878,-58.02,-36.175,-26.96,-21.543
292940,22.282,91.777,92.335,108.03,125.48,148.46,171.22,180.5,185.96
292941,22.279,91.777,-321.3,-307.18,-293.11,-273.85,-257.55,-250.33,-245.55
292942,22.276,91.778,-479.55,-465.41,-450.75,-431.3,-414.45,-407.17,-404.76
292943,22.272,91.779,-478.95,-466.05,-450.65,-431.72,-415.92,-408.75,-403.86
292944,22.269,91.78,-478.36,-465.36,-450.51,-431.72,-415.25,-408.05,-402.86
292945,22.266,91.782,-484.18,-469.98,-453.86,-433.04,-415.84,-408.0,-403.29
292946,22.262,91.784,-484.63,-470.91,-453.76,-433.04,-415.94,-408.59,-403.88
292947,22.259,91.786,-418.36,-405.29,-388.85,-367.63,-350.52,-342.9,-338.07
292948,22.24,91.799,-220.95,-155.75,-153.6,-104.23,-60.987,-72.733,-67.981
292934,22.317,91.773,-377.82,-337.34,-291.67,-228.26,-173.66,-152.61,-140.97
292935,22.312,91.774,-287.62,-248.05,-204.2,-145.15,-88.705,-65.98,-55.624
292936,22.308,91.775,-175.74,-133.68,-91.303,-27.102,26.606,49.818,57.56
292937,22.303,91.776,-52.527,-23.839,24.932,89.283,142.09,164.5,171.17
292938,22.29,91.777,-521.76,-475.5,-424.65,-361.62,-308.66,-284.57,-277.25
292939,22.285,91.777,-303.53,-257.25,-202.77,-141.39,-88.771,-67.171,-59.798
292940,22.282,91.777,172.07,209.41,258.07,323.19,375.66,397.37,404.39
292941,22.279,91.777,-752.56,-714.69,-673.61,-623.83,-585.09,-567.95,-562.15
292942,22.276,91.778,-1106.8,-1066.2,-1028.5,-978.09,-937.38,-920.26,-915.46
292943,22.272,91.779,-1104.9,-1064.3,-1029.0,-979.13,-940.14,-923.15,-917.63
292944,22.269,91.78,-1102.8,-1072.4,-1027.4,-979.13,-938.26,-922.32,-915.62
292945,22.266,91.782,-1133.1,-1082.4,-1032.6,-982.43,-939.5,-922.22,-915.63
292946,22.262,91.784,-1118.0,-1082.4,-1034.1,-982.43,-940.08,-922.02,-916.16
292947,22.259,91.786,-981.76,-929.04,-886.14,-835.37,-793.01,-774.74,-768.89
292948,22.24,91.799,-397.48,-357.46,-309.92,-245.75,-189.53,-165.93,-151.85
292934,22.317,91.773,-230.03,-197.32,-160.92,-112.07,-66.376,-33.575,-2.3284
292935,22.312,91.774,-198.67,-160.8,-124.56,-75.136,-29.726,4.728,36.635
292936,22.308,91.775,-118.16,-85.311,-57.04,-22.67,7.0755,20.203,26.449
292937,22.303,91.776,-65.68,-33.277,-4.2041,29.056,58.47,72.028,78.313
292938,22.29,91.777,-266.03,-234.75,-205.17,-171.34,-141.46,-128.47,-121.87
292939,22.285,91.777,-165.07,-135.74,-106.73,-73.823,-43.137,-30.659,-24.268
292940,22.282,91.777,44.444,73.245,100.98,132.66,163.27,175.56,182.16
292941,22.279,91.777,-363.03,-338.1,-313.44,-286.04,-263.08,-253.35,-247.88
292942,22.276,91.778,-522.81,-495.4,-470.4,-443.49,-420.1,-409.76,-404.36
292943,22.272,91.779,-515.8,-493.21,-469.64,-443.19,-420.31,-410.38,-404.87
292944,22.269,91.78,-518.56,-494.01,-470.43,-443.19,-419.95,-409.5,-403.59
292945,22.266,91.782,-526.36,-499.08,-474.54,-444.49,-420.91,-409.92,-404.0
292946,22.262,91.784,-523.97,-500.11,-472.94,-444.49,-420.11,-409.85,-404.52
292947,22.259,91.786,-460.38,-439.43,-411.89,-382.06,-357.64,-347.23,-341.71
292948,22.24,91.799,-308.44,-255.83,-200.54,-119.85,-46.121,-16.961,-1.2807
292934,22.317,91.773,-870.37,-588.65,-422.2,-301.88,-206.09,-166.12,-153.25
292935,22.312,91.774,-729.32,-492.43,-340.45,-218.77,-127.3,-84.756,-70.376
292936,22.308,91.775,-579.94,-414.49,-223.94,-100.72,-7.5557,36.147,46.941
292937,22.303,91.776,-482.2,-296.06,-99.378,15.663,107.63,149.88,161.67
292938,22.29,91.777,-869.76,-700.04,-554.58,-435.24,-340.63,-298.67,-288.29
292939,22.285,91.777,-690.92,-477.95,-328.35,-214.69,-121.19,-80.152,-69.977
