,time,lat,lon,Temperature,Variable,SSP
0,2040-01-01 12:00:00,22.0,91.0,0.9100000262260437,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,2.1500000953673957,Anomaly of tr tropical nights relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,0.0,Hi35 heat index 35 degc and higher,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.0,Hi35 heat index 35 degc and higher,SSP245
0,2040-01-01 12:00:00,22.0,91.0,5.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,0.9700000286102295,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
0,2040-01-01 12:00:00,22.0,91.0,22.780000686645508,Near-surface air temperature,SSP585
0,2040-01-01 12:00:00,22.0,91.0,26.15999984741211,Daily maximum near-surface air temperature,SSP585
0,2040-01-01 12:00:00,22.0,91.0,21.979999542236328,Near-surface air temperature,SSP245
0,2040-01-01 12:00:00,22.0,91.0,1.3700000047683716,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,25.760000228881836,Daily maximum near-surface air temperature,SSP245
0,2040-01-01 12:00:00,22.0,91.0,1.7100000381469727,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
0,2040-01-01 12:00:00,22.0,91.0,3.349999904632593,Tr tropical nights,SSP245
0,2040-01-01 12:00:00,22.0,91.0,6.199999809265092,Tr tropical nights,SSP585
1,2040-02-01 12:00:00,22.0,91.0,23.8799991607666,Near-surface air temperature,SSP245
1,2040-02-01 12:00:00,22.0,91.0,27.649999618530273,Daily maximum near-surface air temperature,SSP245
1,2040-02-01 12:00:00,22.0,91.0,1.649999976158142,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,10.75,Anomaly of tr tropical nights relative to 1995-2014,SSP585
1,2040-02-01 12:00:00,22.0,91.0,17.100000381469698,Tr tropical nights,SSP585
1,2040-02-01 12:00:00,22.0,91.0,0.0,Hi35 heat index 35 degc and higher,SSP585
1,2040-02-01 12:00:00,22.0,91.0,5.300000190734896,Anomaly of tr tropical nights relative to 1995-2014,SSP245
1,2040-02-01 12:00:00,22.0,91.0,11.64999961853029,Tr tropical nights,SSP245
1,2040-02-01 12:00:00,22.0,91.0,1.2699999809265137,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
